# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
# ---------------------------------------------------
# Last Update: modified by Valminder July 12, 2006.
# ---------------------------------------------------
#
# 3rd Edition D&D Random Adventure and 'Game Hook' Generation Table
# by Larry Cormier
#
# HTML-formatted
#
# This Table was designed to generate nearly complete Random Adventures, as
# well as 'Adventure Hooks' that can easily be sprung on your unsuspecting
# characters. The ideas generated by this table can be inserted into the
# middle of an ongoing campaign, or provide inspiration for starting a
# brand new Adventure that can stimulate the creative juices in all of you
# who (like me) enjoy building an adventure 'from scratch' - from a basic
# seed idea!
#
# I've attempted to consolidate several of the Adventure-generation tables
# available from TableSmith, as well as other tables that lent themselves to
# the enhancment of the concept of this table.
#
# Like any Random Generator, some things might not make sense - but then
# again, if you think about it, maybe they DO Make sense - in a deranged sort
# of way! Needless to say, if the situations that are generated by this table
# are just TOO bizarre, tweak it a bit until it DOES make sense... or just
# re-roll.
#
# It's just one more tool to provide ideas for those times when you need a
# spur-of-the-moment adventure fix!
#
# One more thing... I'm not NEARLY finished with this table. I've still got a
# lot of ideas that I want to implement. Look for updates as I implement
# those ideas!
#
# NOTE: This Table calls these other tables as necessary:
#  1, Dungeon Map.tab ===========> Renamed to [MAP Dungeon.tab]
#  2, Caverns2.tab ==============> Renamed to [MAP Cavern.tab]
#  3, Riddles.tab
#  4, Temples.tab ===============> Renamed to [SITE Temples.tab]
#  5, Book Descriptions.tab
#  6, Jewelry.tab
#  7, Gems2.tab
#  8, Ruins.tab =================> Renamed to [SITE Ruins.tab]
#  9, Random Ruins.tab ==========> Renamed to [SITE Ruined City Building.tab]
# 10, Castles.tab
# 11, ENC Short Encounter Generator.tab
# 12, Plot Ideas.tab ============> Renamed to [ADV Plot Ideas.tab]
# 13, Monster Stats.tab
# 14, Random Rumors.tab =========> Already included in [Rumors.tab]
# 15, Rumors.tab
# 16, Sword Descriptions.tab
# 17, Magic Weapon Names.tab
# 18, Town Names.tab
# 19, Miscellaneous.tab
# 20, Creatures.tab
# 21, Wilderness Hooks.tab ======> Renamed to [ENC Wilderness.tab]
# 22, Magical Statues.tab =======> Renamed to [DUN Magical Statues.tab]
# 23, Wilderness Encounters.tab
# 24, NPC Appearance.tab
# 25, Random Tombs.tab ==========> Renamed to [ADV Random Tombs.tab]]
# 26, The Oracle.tab
# 27, ADV Bets Down.tab
# 28, MAP Clearings.tab
# 29, MAP Ruins.tab
# 30, MAP Building.tab
# 31, SITE City Buildings
#
# Modified by Valminder, Dec 2005.
#    Adapted for TSv5.
#    Changed:
#       [Random Rumors.tab] to [Rumors.Rumor] 
#          (Rumors.tab has all the rumors from the other table) 
#    Renamed some tables, as listed above.
#    Added link to:
#       Rumors.Reward1
#
# Updated by Larry Cormier, Dec 2005.
#    Added Link and associated code to use:
#      The Oracle.tab
#    Modified Call to Monster Stats to allow Table to call any of the
#      400+ Monsters Stats available in that table Randomly
#    Added Link to:
#      ADV Bets Down.tab as an additional source of Game Hooks
#    Fixed the Statue/Idol calling code discrepancies
#    Cleaned up miscellaneous display code
#
# Modified by Valminder, Dec 2005.
#    [ADV Random Tombs.GenerateTomb(,1)] was added.
#    Modified [ENC Short Encounter Generator.Start] line since
#       I modified the "Short Encounter" table
#    Added parameter to Choose Core Gods (from PH) or gods from
#       [Religion.Deities]. The default is [Religion.Deities].
#
# Modified by Larry Cormier, Jan 2006
#    Added Specialized Monster Encounter coding for:
#       Sphinxes and Witches (Hags) 
#    Added Link and associated code to permit the use of:
#       MAP Clearings.tab
#       MAP Ruins.tab
#       MAP Buildings.tab
#       SITE City Buildings.tab
#
# Modified by Valminder, July 2006.
#    Added "OverRideRolls"
#    

/OverRideRolls 1

# Define Variables
%Chance%,0
%Race%,0
%Gender%,0
%Class%,0
%TempNumber%,0
%Counter%,0
%ContactFlag%,0
%SoughtFlag%,0
%ContactID%,0
%SoughtClass%,0
%ArtifactFlag%,0
%TombFlag%,0
%CavernFlag%,0
%SphinxFlag%,0
%TempleFlag%,0
%BookFlag%,0
%JewelryFlag%,0
%WeaponFlag%,0
%SwordFlag%,0
%GemsFlag%,0
%RuinsFlag%,0
%CastleFlag%,0
%MonsterFlag%,0
%MonsterID%,0
%StatueFlag%,0
%StatuePowerFlag%,0
%RumorFlag%,0
%Choice%,3
%OracleFlag%,0
%HagFlag%,0
%ClearingFlag%,0
%BuildingFlag%,0
%BuildingString%,0
%Size%,0
%Instructions%,1

%Bonus0Level%,2
%CoreGods%,2

# Parameter Choices:
@Choice,3,What option would you prefer?,Complete Adventures Only,Adventure Hooks Only,Both Adventures and Hooks
@Bonus0Level,1,OPTIONAL: Bonus 0-level spells based on Prime Attribute? (same as 1st-level spells),Yes,No
@CoreGods,2,Choose the godly source,Core Gods (1),[Religion.tab] (2)
@Instructions,2,Continue showing Instructions?,Yes,No

:Start
1,{Status~by Larry Cormier and Valminder}{If~%Instructions%=1? [Instructions]/[OptionBranch=%Choice%]}

:Instructions
1,This table generates complete 3rd Edition D&D Adventures and/or Adventure Hooks.<br><br>
_ Use the Parameter Button located in the Upper Left-hand corner of the screen to choose what Random Adventure Option you prefer.

:Chanceof
1,|Chance={Dice~1d100}|

:DiscoverFindBranch
1,You discover
2,You find

:OptionBranch
1,{Cap~[OptionChoice={Dice~1d11}]}
2,{Cap~[OptionChoice={Dice~1d6+11}]}
3,{Cap~[OptionChoice={Dice~1d17}]}

:OptionChoice
1-9,[Initiation Branch] that [Initiator]
_<br><br><b><u>Details:</u></b>
_ {If~%ContactFlag%=1 ? <br>[DetailBold=1]<br>[NPC Appearance.Generate]}
_ {If~%SoughtFlag%=1 ? <br>[DetailBold=2]<br>[NPC Appearance.Generate]}
_ {If~%RumorFlag%=1 ? <br><br>[DetailBold=19][Chanceof]{If~%Chance%<75?, but investigating the rumor
_ leads the Players to a secondary encounter as follows:<br>[ClearVariables]/.}} [DetailsDescription]
_<br><br><b>Reward:</b> Upon completion of the mission, the party may receive [RewardsBranch]
10,|ContactID={Dice~1d12}|{Cap~{AorAn~[MysteriousFigures=%ContactID%]}} [Portents]<br><br><b><u>Details:</u></b>
_<br><b>[MysteriousFigures=%ContactID%]:</b><br>[NPC Appearance.Generate]
_ {If~%ContactFlag%=1 ? <br>[DetailBold=1]<br>[NPC Appearance.Generate]}
_ {If~%OracleFlag%>0 ? <br><br>[DetailBold=20]|Counter={Dice~2d4}|{Loop~%Counter%,<br>[The Oracle.RandomSentence].}}
_<br><br><b>Reward:</b> Upon completion of the investigation, the party may receive [RewardsBranch]
11,[ENC Short Encounter Generator.Start]
12,[ADV Plot Ideas.Generate]
13,[Rumors.Rumor]
14,[Rumors.Alternate]
15,[ENC Wilderness.Start]
16,[DiscoverFindBranch] [Wilderness Encounters.Generate(%Bonus0Level%)][Chanceof]{If~%Chance%<75?. [OtherThings]/.}
17,While enjoying a few drinks at the local [Chanceof]{If~%Chance%>50 ? tavern/inn}: [~Tavern Names.NAME], a bet involving a [Distance]
_ [Chanceof]{If~%Chance%>30? Tomb|TombFlag=1|/Cavern|CavernFlag=1|} [Chanceof] {If~%Chance%>50? intrigues you/catches your attention}.
_<br><br> [ADV Bets Down.MainBets]<br><br><b><u>Details:</u></b>
_{If~%TombFlag%=1? [DetailsDescription]}
_{If~%CavernFlag%=1? [DetailsDescription]}

:Initiation Branch
1,You've heard rumors|RumorFlag={Dice~1d10}|
2,The word around town is
