# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
#
# This Table will create fully described 'Empty' rooms
#
# Copyright 2003,by Lawrence H. Cormier
# 
# You've just opened the door into another empty room... OK... So now what?
#
# Even so-called 'empty' rooms can have a few fascinating things in them.
# Hopefully this Table will give you some ideas - and it could make those
# 'empty' rooms a bit more interesting. It might even suggest a few
# intriguing possibilities... If you're up to it.
#
# This Table leans toward empty and abandoned rooms in a forgotten keep, a
# neglected section of a castle, or the typical dungeon setting. It will
# probably fall short if you are planning on describing a well tended or
# fully staffed inhabitation. (But then again - even well ordered
# establishments can have a few forgotten or neglected rooms!).
# Try it anyway, you might like it!
#
# Modified by Valminder, Jan 2004
#   Added links to:
#      Creatures.Humanoid2
#      Miscellaneous.Class
#      Miscellaneous.Color
#      Miscellaneous.Wood
#      Religion.Deities3
# Modified by Valminder, Nov 2005
#      Removed header from [Start]
# Modified by Valminder, Nov 2005
#      Added "Tab" and "Alternate" subtable.
#

%TempNumber%,0
%Chance%,0
%Count%,0
%Features%,0
%EndCount%,0

:Start
1,{Status~Larry Cormier and Valminder}[Generate]

:Generate
1,This room [Lighting]<br><br>
_The walls [WallCondition].
_[Chanceof]{If~%Chance%<5? <br><br>There [DUN Graffiti.Generate]}
_[Chanceof]{If~%Chance%<25? <br><br>While investigating this room[DungeonDressing]}
_[Chanceof]{If~%Chance%<15? <br><br>Further investigation uncovers [Features]}
_[Chanceof]{If~%Chance%<5? <br><br>[DeadBodies]}
_[Chanceof]{If~%Chance%<5? <br><br>There is a trap: [~Traps.RoomTraps].}

:Tab
1,{Loop~5,&nbsp;} 

# This subtable is added to give a smaller output, but has the same informations as above.
:Alternate
1,This room [Lighting]. The walls [WallCondition].
_[Chanceof]{If~%Chance%<5? <br>[Tab]There [DUN Graffiti.Generate]}
_[Chanceof]{If~%Chance%<25? <br>[Tab]While investigating this room[DungeonDressing]}
_[Chanceof]{If~%Chance%<15? <br>[Tab]Further investigation uncovers [Features]}
_[Chanceof]{If~%Chance%<5? <br>[Tab][DeadBodies]}
_[Chanceof]{If~%Chance%<5? <br>[Tab]There is a trap: [~Traps.RoomTraps].}

:Chanceof
1,|Chance ={Dice~1d100}|

# ------------------------------------------------------------------------
# Misc tables

;CoinType
10,|TempNumber={Dice~1d8}| %TempNumber% copper 
8,|TempNumber={Dice~1d6}| %TempNumber% silver
6,|TempNumber={Dice~1d4}| %TempNumber% electrum
3,|TempNumber={Dice~1d3}| %TempNumber% gold
1,|TempNumber={Dice~1d2}| %TempNumber% platinum

:Corners
1,right-hand corner
2,left-hand corner

:Location
1, on the floor
2, on the ceiling
3, near the [Chanceof]{If~%Chance%<50? center of the room/ [Corners] of the [RightLeftFrontBack] wall}
4, in the center of the room

:RightLeftFrontBack
1,right
2,left
3,front
4,back

# ------------------------------------------------------------------------
# Lighting

;Lighting
80,will be dark.<br>Once the room is properly illuminated, you will see that the room itself [GeneralAppearance]
10,is dimly lit with a [Chanceof]{If~%Chance%<60? thin [LightColor] glow./watery, [LightColor] glow.} (The light is emanating from [LightSource]).<br><br>The room itself [GeneralAppearance]
5,is lit by a [Chanceof]{If~%Chance%<75? flickering source of light that has a [LightColor] tinge./ wavering source of light that has a [LightColor] tinge.} (The light is emanating from [LightSource]).<br><br>The room itself [GeneralAppearance]
5,is illuminated by a steady [LightColor] glow. (The light is emanating from [LightSource]).<br><br>The room itself [GeneralAppearance]

:BurnType
1,steadily
2,fitfully
3,brightly
4,weakly

;LightColor
1,reddish
1,bluish
1,greenish
1,whiteish
1,yellowish
1,violet-colored

;LightSource
30,|TempNumber={Dice~1d10}|{If~%TempNumber%=1? a patch of [PhosphorescentVeggies] [Location]/ %TempNumber% patches of [PhosphorescentVeggies] [Location]}
19,a [Chanceof]{If~%Chance%<85? puddle of [Liquids][Location={Dice~1d2+2}]/pool of [Liquids][Location={Dice~1d2+2}]}
1,a [Chanceof]{If~%Chance%<85? puddle of [Liquids={Dice~1d2+6}] that {If~%TempNumber%=1? is/are} burning [BurnType] [Location={Dice~1d2+2}]/ pool of [Liquids={Dice~1d2+6}] that {If~%TempNumber%=1? is/are} burning [BurnType] [Location={Dice~1d2+2}]}
10,|TempNumber={Dice~1d4}|{If~%TempNumber%=1? a [PhosphorescentThings][Location={Dice~1d2+2}]/ %TempNumber% [PhosphorescentThings][Location={Dice~1d2+2}]}
15,|TempNumber={Dice~1d4}|{If~%TempNumber%=1? a [MundaneThings]/ %TempNumber% [MundaneThings]}
1,|TempNumber={Dice~1d4}|{If~%TempNumber%=1? a Giant Beetle moving [Location]/ %TempNumber% Giant Beetles moving [Location]} (Fire Beetles: HD:1+2, AC:4, Attk:+1, Attks:1, Damage:2d4)
1,a glowing globe of light floating about 2' from the ceiling
1,|TempNumber={Dice~1d3}|{If~%TempNumber%=1? a darting, flickering wisp of light moving quickly around the room./ %TempNumber% darting, flickering wisps of light moving quickly around the room.}(Will-O-Wisps: HD:9, AC:18, Attk: +9, Attks: 1, Damage:2d8)}
7,the walls and ceiling itself. Probably a <i>light</i> spell
5,|TempNumber={Dice~1d10}|{If~%TempNumber%=1? a lit torch in a sconce on the walls that are burning [BurnType]/ %TempNumber% lit torches in sconces on the walls that are burning [BurnType]}
5,an abandoned cooking fire that has been set up in a firebox that is still burning [BurnType][Location={Dice~1d2+2}]
1,|TempNumber={Dice~6d10}|%TempNumber% glow worms that are wandering around the walls and ceiling
1,veins of phosphorescent minerals embedded in the walls
1,an infestation of Fireflys flying aimlessly about the room
1,|TempNumber={Dice~1d6}|{If~%TempNumber%=1? a Light Globe laying on the floor near the [RightLeftFrontBack] wall / %TempNumber% Light Globes laying on the floor near the [RightLeftFrontBack] wall}
1,a Light-imbued [Chanceof]{If~%Chance%<75? coin laying on the floor near the [RightLeftFrontBack] wall/ stone laying on the floor near the [RightLeftFrontBack] wall}

:MundaneThings
1,guttering [Chanceof]{If~%Chance%<75? tallow/wax} {If~%Count%=1? candle/candles}[Location={Dice~1d2+2}]
2,[Chanceof]{If~%Chance%<75? tallow/wax} {If~%Count%=1? candle that is burning [BurnType]/candles that are burning [BurnType]}[Location={Dice~1d2+2}]
3,discarded torch {If~%Count%=1? stump that is/stumps that are} burning [BurnType][Location={Dice~1d2+2}]
4,discarded and [Chanceof]{If~%Chance%<75? nearly empty and} apparently abandoned {If~%Count%=1? lantern/lanterns}[Location={Dice~1d2+2}]
5,{If~%Count%=1? torch in a sconce that is attached to the wall burning [BurnType]/torches in sconces attached to the walls that are burning [BurnType]}
6,lit {If~%Count%=1? brazier that is burning [BurnType]/braziers that are burning [BurnType]}[Location={Dice~1d2+2}]
7,small oil {If~%Count%=1? lamp that is burning [BurnType]/lamps that are burning [BurnType]}[Location={Dice~1d2+2}]

