# ------------------------------------------------------
# Last Update: modified by Valminder Jan 15, 2015.
# ------------------------------------------------------
#
# *************** 2nd EDITION AD&D table ***************
#
# Living Wall
# 
# CopyRight Kevin Donovan
# ====>>> 2d Edition Monster, Pg. 224
#
# This table makes creating a "Living Wall" very fast...Awesome Creature.  
# Very fun for the DM to play against a high level party.
#
# Modified by Valminder, January 2015.
#    Added treasures from 3.5 Magic Item Compendium
#    Added link to: 
#       Treasure Generator MC.Start
#    

/OverRideRolls 1

%Xp%,2000
%Hp%,0
%Ac%,8
%Lvl%,0
%A%,0
%Plus%,0
%B%,0
%C%,0
%D%,0
%E%,0
%F%,0
%G%,0
%Ability1%,Nothing
%Ability2%,Nothing
%Ability3%,Nothing
# Added for Treasure Generator MC.tab
%CR%,1
%size%,1

:Start
1,{Status~By Kevin Donovan, Valminder 2015}
_|Hp+{Dice~8d8}|<b><u>A Living Wall</u><br> 
_[Age]</b><br>This creature has absorbed %A% entities which the Wall now uses as its attacks: <hr> 
_|CR=%A%||CR*2||size={Dice~1d3+1}|{If~%CR%>20?|size+1|}|size<4||CR>10||CR<20|
_{While~%A%,[Absorbed]} <hr> 
# RandomMagic table cannot be found for 2E AD&D
#_<u><b>Treasure:</B></u><br> [RandomMagic] <hr>
_<u><b>Treasure (3.5E): (Magical Item Compendium)</B></u><br> [RandomMagic35E] <hr>
_<b>The wall has %Hp% HPs. <br> The wall has an intelligence of {Dice~6d3}. <br>It's AC is |Plus\3| |Ac-%Plus%| %Ac%. <br>Magic resistance 20 percent. <br>It gives %Xp% XPs for killing it.</b>

# RandomMagic table cannot be found for 2E AD&D
#;RandomMagic
#2,[RandomMagic.Start] <br>
#1,[RandomMagic.Start] <br> [RandomMagic]
#1,[RandomMagic.Start] <br> [RandomMagic.Start] <br> [RandomMagic]
#1,[RandomMagic.Start] <br> [RandomMagic.Start] <br> [RandomMagic.Start] <br> [RandomMagic.Start] <br> [RandomMagic]

;RandomMagic35E
1,[Treasure Generator MC.Start(%CR%,%size%)]

:Age
1,This is a newly created wall and has seen a few years of life.|A+{Dice~3d2}|
2-3,This beast has been alive for decades. |A+{Dice~4d3}|
4-5,This is an Aged creature.  It has been alive for centuries. |A+{Dice~5d3}|
7,This creature has been alive for Eons - An Ancient creature of special powers. |A+{Dice~6d3}|

:Absorbed
1-4,|Lvl+{1d15}||Hp+{%Lvl%d10}||Xp+{%Lvl%d280+500}|[Fighter]|A-1||Lvl=0||C=0||B=0| |Ability1=Nothing| |Ability2=Nothing| |Ability3=Nothing|<br>
5-6,|Lvl+{1d13}||Hp+{%Lvl%d4}||Xp+{%Lvl%d1200+1700}|[Mage]|A-1||Lvl=0||C=0||B=0||Ability1=Nothing| |Ability2=Nothing| |Ability3=Nothing|<br>
7-8,|Lvl+{1d13}||Hp+{%Lvl%d8}||Xp+{%Lvl%d1100+1000}|[Priest]|A-1||Lvl=0||C=0||B=0| |Ability1=Nothing| |Ability2=Nothing|  |Ability3=Nothing|<br>
9-10,|Lvl+{1d15}||Hp+{%Lvl%d8}||Xp+{%Lvl%d750+500}|[Creature]|A-1||Lvl=0||C=0||B=0| |Ability1=Nothing| |Ability2=Nothing| |Ability3=Nothing|<br>

:!Time
1,recently
2,long ago
3,early in the wall's life
4,some time ago
5,a while ago
6,of late
7,in recent times
8,a short time ago
9,in ancient times
10,in times of yore
11,in an earlier period
12,a moment ago
13,only recently
14,only a while ago
15,only some time ago
16,only of late
17,only a short time ago
18,only a little time ago
19,a brief time ago
20,after a prolonged time
21,after an extensive period
22,after an extended time
23,after an extended period
24,after a prolonged period
25,after a long time
26,after a long period
27,after a long span
28,after a brief passage of time

:Fighter
1,<b>* </b>A level %Lvl% Fighter was [Absorbverb] [Time]. THACO: {Calc~(20- %Lvl%+{1d5-1})} Weapon: [FighterWeapon] {If~%Lvl%>4?|Plus+{1d2}|/|Plus+0|} <br>
2,<b>* </b>A level %Lvl% Fighter was [Absorbverb] [Time]. THACO: {Calc~(20- %Lvl%+{1d4-1})} Weapon: [FighterWeapon] {If~%Lvl%>4?|Plus+{1d2}|/|Plus+0|} <br>
3,<b>* </b>A level %Lvl% Fighter was [Absorbverb] [Time]. THACO: {Calc~(20- %Lvl%+{1d4-1})} Weapon: [FighterWeapon] {If~%Lvl%>4?|Plus+{1d3}|/|Plus+0|} <br>
4,<b>* </b>A level %Lvl% Fighter was [Absorbverb] [Time]. THACO: {Calc~(20- %Lvl%+{1d4-1})} Weapon: [FighterWeapon] {If~%Lvl%>4?|Plus+{1d2+1}|/|Plus+0|} <br>

:!Absorbverb
1,consumed
2,absorbed
3,assimilated
4,merged
5,eaten
6,enveloped
7,sucked in
8,digested
9,devoured
10,gorged
11,swallowed
12,engulfed
13,killed
14,slaughtered
15,mutilated
16,pulverized
17,taken in
18,pulled in
19,scooped up
20,dragged in
21,yanked in
22-23,[Absorbverb] and [Absorbverb]
24,converged

:Mage
1,<b>* </b>A level %Lvl% Mage was [Absorbverb] [Time]. |C=%Lvl%| |C\3| THACO: {Calc~(20-%C%)} Weapon: [MageWeapon] {If~%Lvl%>6?|Plus+{1d2}|/|Plus+0|} <br> <u>Spells: </u>[GetMageSpells] <br>
2,<b>* </b>A level %Lvl% Mage was [Absorbverb] [Time]. |C=%Lvl%| |C\3| THACO: {Calc~(19-%C%)} Weapon: [MageWeapon] {If~%Lvl%>6?|Plus+{1d2}|/|Plus+0|} <br> <u>Spells: </u>[GetMageSpells] <br>

:Priest
1,<b>* </b>A level %Lvl% Priest was [Absorbverb] [Time]. {If~%Lvl%>3?|B+2|/|B+0|} {If~%Lvl%>6?|B+2|/|B+0|} {If~%Lvl%>9?|B+2|/|B+0|} {If~%Lvl%>12?|B+2|/|B+0|} THACO: {Calc~(20-%B%)} Weapon: [PriestWeapon] {If~%Lvl%>5?|Plus+{1d2}|/|Plus+0|} <br> <u>Spells: </u>[GetPrSpells] <br>
1,<b>* </b>A level %Lvl% Priest was [Absorbverb] [Time]. {If~%Lvl%>3?|B+2|/|B+0|} {If~%Lvl%>6?|B+2|/|B+0|} {If~%Lvl%>9?|B+2|/|B+0|} {If~%Lvl%>12?|B+2|/|B+0|} THACO: {Calc~(19-%B%)} Weapon: [PriestWeapon] {If~%Lvl%>5?|Plus+{1d2}|/|Plus+0|} <br> <u>Spells: </u>[GetPrSpells] <br>

:Creature
