# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
# ---------------------------------------------------
# Last Update: modified by Valminder Jan 01, 2006.
# ---------------------------------------------------
#
# Road Encounters
# 
# from Dragon Magazine 275 
#
# Created and modified by Valminder May 2003
#    I added some links to these other tables:
#        Barrel and Jar Contents.Generate
#        Countries.Start
#        Crate and Wagon Contents.Generate
#        Creatures.Animal2
#        Creatures.AnimalPack
#        Creatures.AnimalPet
#        Creatures.AnimalRiding
#        Creatures.Bird of Prey
#        Creatures.Dragon
#        Creatures.Flying
#        Creatures.FlyingTransport
#        Creatures.Humanoid
#        Creatures.Humanoid2
#        Creatures.Start2
#        Curios.Start
#        Miscellaneous.Alignment2
#        Miscellaneous.Armors
#        Miscellaneous.Cloth
#        Miscellaneous.Direction
#        Miscellaneous.Gender
#        Miscellaneous.Occupations
#        Miscellaneous.Odor
#        Miscellaneous.Personality
#        Miscellaneous.Quirks
#        Miscellaneous.Sound
#        Miscellaneous.Weapons
#        Names Generator.NAME Random
#        Noble Household Names.Start
#        NPC Appearance.Generate
#        NPC Appearance.Generate2
#        Religion.Deities2
#        Rumors.Bounty
#        Rumors.Generate
#        Wilderness Encounters.Generate
#
# Modified by Valminder, Nov 2005
#        Removed header from [Start]
#
# Modified by Larry Cormier December, 2005
#    Broke out Multiple Items into seprate entities
#    Added Passive Tense sentence structure for consistency
#       throughout entry options
#
# Modified by Valminder, Dec 2005
#        Added link to:
#           MAP Clearings.GenRandomMapRoad
#

/OverrideRolls 1

%Number%,1

:Start
1,{Status~Dragon Magazine 275, Valminder}{Cap~[Generate]}<br>

;Generate
1,[DiscoverFindBranch] [Wilderness Encounters.Generate].
11,[DiscoverFindBranch] [Common][MAP]
6,[DiscoverFindBranch] [Uncommon][MAP]
2,[DiscoverFindBranch] [Rare][MAP]

;GenerateNoMap
1,[DiscoverFindBranch] [Wilderness Encounters.Generate].
11,[DiscoverFindBranch] [Common]
6,[DiscoverFindBranch] [Uncommon]
2,[DiscoverFindBranch] [Rare]

:DiscoverFindBranch
1,You discover
2,You find

:MAP
1,<br>{Space~5}{Generate~0,Click to generate clearing map,GenMAP}

:GenMAP
1,<br>[~MAP Clearings.GenRandomMapRoad]

# ------------------------------------------------------------------------

;Common
1,an abandoned cart (empty). 
1,an abandoned wagon (empty). 
1,a bridge, wooden.
2,some broken character equipment ([~Equipment.Start]).
1,a broken cart wheel.
1,a broken mount equipment (like saddle or saddle bags).
1,<b>{Dice~1d6+1}</b> [~Creatures.Humanoid2] children playing games. 
1,a [~Creatures.Humanoid2] construction crew (<b>{Dice~1d10+5}</b>). [NPC] 
2,a Craftsman with wares.[Transport][NPC]
1,a creature flying overhead ([~Creatures.Flying]).
1,a deer crossing (<b>{Dice~1d6+1}</b>).
1,a duck crossing (<b>{Dice~1d6+1}</b>). 
2,a fallen tree across road.
1,a [~Creatures.Humanoid2] family moving (<b>{Dice~1d6+1}</b> members). [Transport][NPC] 
2,<b>{Dice~1d8+1}</b> [~Creatures.Humanoid2] Farmers. [Transport] [NPC] 
1,a holy symbol ([~Religion.Deities]).
1,a Fisherman with catch. [NPC]
1,a Fisherman without catch. [NPC] 
1,a Healer and one wagon pulled by <b>[WagonNumber]</b> [~Creatures.AnimalRiding].  [NPC]
2,<b>{Dice~1d4+1}</b> [~Creatures.Humanoid2] herdsmen on foot with <b>{Dice~1d20+10}</b> [~Creatures.Animal2]. [NPC] 
1,an Herbalist and one wagon pulled by <b>[WagonNumber]</b> [~Creatures.AnimalRiding].  [NPC]
1,a Horse merchant with wares (<b>{Dice~1d8+2}</b> [~Creatures.AnimalRiding]). [Transport] [NPC] 
2,a Hunter with game.<br><u>Game</u>: [~Creatures.Start2] [NPC] 
2,a Hunter without game. [NPC]
2,an isolated Household. [NPC]
1,<b>{Dice~1d6+1}</b> logging wagons with <b>{Dice~1d20+5}</b> [~Creatures.Humanoid2] loggers. [NPC]
2,<b>{Dice~1d10+2}</b> [~Creatures.Humanoid2] laborers on foot. [NPC] 
2,<b>{Dice~1d10+2}</b> [~Creatures.Humanoid2] laborers. [Transport2] [NPC] 
1,a lonely tree apart from the others.
1,lost character equipment (something fell from the backpack or belt pouch).
1,<b>{Dice~1d6+1}</b> [~Creatures.Humanoid2] mercenary. [Transport] [NPC] 
2,a Merchant with <b>{Dice~1d6+2}</b> laden pack animals ([~Creatures.AnimalPack]). [Merchant]
2,a Merchant with cart pulled by <b>[CartNumber]</b> [~Creatures.AnimalRiding]. [Merchant]
2,a Merchant with one wagon and no guards. The wagon is pulled by <b>[WagonNumber]</b>
_ [~Creatures.AnimalRiding].[Merchant]
2,a Merchant with one wagon and <b>{Dice~1d6}</b> [~Creatures.Humanoid2] guard(s).
