# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
# ---------------------------------------------------
# Last Update: modified by Valminder August 20, 2006.
# ---------------------------------------------------
#
# Rumors Generator
#
# Made by Valminder, May 2002
#
# I took the rumors from the Inn Generator and added some new ones.
#
# June 2003: Added 101 Wondrous Whereabouts from Dragon 281, under Legend.
#            I also triple the chances for the other "Rumors" to generate
#            less of those legends.
# July 2003: Added link to [Riddles.Start] in rumor.
# Jan. 2004: Added ideas of Erik C. Mattsen.
# Nov. 2005: Removed header from [Start]
#            Added credits: also by Larry Cormier
#               The first 100 Rumors on this table were derived from the
#               Dungeonmaster's Guide(r) and 'Gramatically' altered
#               to fit the 'Rumor Concept' of this table. They are
#               essentially the 'One Hundred Adventure Ideas' listed in
#               the 'Adventures' section of the DMG, and fit well as
#               Adventure Hooks that may be heard as rumors.
# Dec. 2005: Added link to: The Oracle.tab
#
# Modified by Valminder, August  2006.
#    Added link to: Notable Event Names.tab
#    Added contents of "Current Events1.tab" to this one.
#    Added contents of "InnEvents1.tab" by odell_williams@hotmail.com
# Modified by Valminder, Octobre 2016
#    Modified link "Countries.Start" to "Countries.Countries"
#

%Rumor%,1
%Sex%,His

@Rumor,1,Choose the kind of rumor,Random,Bounty,Employment,Rumor,Legend

:Start
1,{Status~Valminder, 2002, 2003, 2004, 2005}[ChooseRumor=%Rumor%]

:ChooseRumor
1,[Generate]
2,<u>Bounty</u>: [Bounty]
3,<u>Employment</u>: [Job]
4,<u>Rumor</u>: [Rumor]
5,<u>Legend</u>: [Legend]

;Generate
3,<u>Bounty</u>: [Bounty]
3,<u>Employment</u>: [Job]
13,<u>Rumor</u>: [Rumor]
1,<u>Legend</u>: [Legend]

;Alternate
3,[Bounty]
3,[Job]
13,[Rumor]
1,[Legend]

# ---------------------------------------------------------------------------
#A bounty might be something posted in an inn or tavern, told by a town cryer or simply a short encounter.

;Bounty
5,{Cap~[~Magic Weapon Names.Generate]} has to be found. [Magic Item History.Generate]<br>[Reward]
5,An alchemist needs a particularly rare herb named [~Herb Names.Generate]. [Reward]
5,{AorAn~[Leader]} is looking for his/her lost jewel, [~Jewelry.Start]. [Reward] 
5,A sage or scholar wants a particular book.<br>[Book Descriptions.Start]<br>[Reward]
5,A wizard needs a particularly rare spell component found only in the deep jungle. [Reward]
1,A wronged [~Creatures.Humanoid2] needs a champion to fight for her in a gladiatorial trial. [Reward]
1,The holy symbol of the high priest of [~Religion.Good Gods] is missing. [Reward]
1,The holy symbol of the high priest of [~Religion.Neutral Gods] is missing. [Reward]
3,Wanted Alive: The crew of the pirate ship [~Ship Name Generator.Generate] is wanted for piracy. [Reward]
10,Wanted Alive: The [~Creatures.Humanoid2] [~Miscellaneous.ClassPC] named [~Names Generator.NAME Random] is wanted for [Crime]. [Who] [Reward]
10,Wanted Dead or Alive: The [~Creatures.Humanoid2] [~Miscellaneous.ClassPC] named [~Names Generator.NAME Random] is wanted for [Crime]. [Who] [Reward]
1,The Mage Guild is looking for someone to find and [Capture] a renegade wizard who [Guild]. Local law enforcement is not involved because the Guild likes to solve its problems internally. [Reward]
1,{AorAn~[Leader]} wants to retrieve a family heirloom which was stolen from the family <b>{Dice~1d10+2}</b> years ago. [Reward]
1,A [~Miscellaneous.Occupations] is looking to hire someone to recover a shipment of supplies that was hijacked enroute. [Reward]

;Crime
2,felony
1,grand theft
1,high treason
2,murder
2,rape
3,theft
2,treason

;Capture
1,kill
1,capture

;Guild
1,is selling magic items to criminals
1,murderd the previous Guildmaster
1,is attempting to assassinate the current Guildmaster

;Leader
1,[Noble]
1,senior guild member
1,elder cleric ([~Religion.Deities2])
1,rich merchant
1,mysterious stranger
1,foreign noble

:Noble
1-25,Lord
26-47,Baron
48-64,Count
65-78,Duke
79-86,Prince
87-90,King
91,Emperor
92-100,High Priest

:Reward
1,The reward is [Reward1]

;Reward1
1,the eternal gratitude of the patron.
10,some sort of service.
10,<b>{Dice~2d6*50}</b> gp.
10,<b>{Dice~2d10*50}</b> gp.
10,<b>{Dice~1d20*100}</b> gp.
5,<b>{Dice~5d20*25}</b> gp.
3,<b>{Dice~5d20*50}</b> gp.
1,<b>{Dice~5d20*100}</b> gp.
10,a minor magical item.
5,a moderate magical item.
1,a major magical item.

;Sex
2,He|Sex=His|
1,She|Sex=Her|

;Sex2
2,His
1,Her

;Who
11,
1,[Sex] is a dangerous criminal, caution is advised.
1,[Sex] is a [~Miscellaneous.Class] of great reknown.
1,[Sex] is a [~Miscellaneous.Class] [~Miscellaneous.Class] of great powers.
1,[Sex] is never alone. %Sex% cohort, the [~Creatures.Humanoid2] named [~Names Generator.NAME Random] is also wanted for the same reward.
1,[Sex] has powerful friends.
1,[Sex] might have fled to [~Countries.Land].
1,[Sex] is a follower of [~Religion.Evil Gods].
1,[Sex] is a follower of [~Religion.Neutral Gods].
1,[Sex] is allied with followers of [~Religion.Evil Gods].
1,[Sex] is allied with followers of [~Religion.Neutral Gods].
1,[Sex2] last known location was in [~Countries.Land].
1,[Sex] was seen a week ago in this establishment.
1,[Sex] fled toward the [~Miscellaneous.Direction].
1,[Sex] booked passage on a ship going [~Miscellaneous.Direction].
1,[Sex] knows someone in [~Countries.Land].
1,[Sex2] crime partner [~Names Generator.NAME Random] was last seen in [~Countries.Land].
