# ------------------------------------------------------
# Last Update: verified by Valminder Jan 04, 2008.
# ------------------------------------------------------
#
#
# Pirate Island Generator
#
# By Kevin Straight.
# A modification of the Mysterious Island Generator, for use in the Caribbean.
#
# Modified by Valminder, January 2008.
#    Added some modifications, like ~ to reroll things.
#    Added descriptions.
#

%hab%,0

:Start
1,{Status~By Kevin Straight, Valminder 2008}
_[~PINamer]{CR~}
_{Bold~What is the Coast Like?} [~Coast].{CR~}
_{Bold~Is it Inhabited?} [~Inhabited]{CR~}
_{Bold~Interesting Places}: [~Interesting Places]{CR~}
_{Bold~Inhabitants/Monsters}: {If~hab=1?[~Inhabitants]/[~Dangerous Animal]}

:Coast
1-2,Ringed by reefs
3,Ringed by smooth, sandy beaches
4,Ringed by high cliffs
5,Ringed by sand banks
6,A variety of coastline exists

;!Coast_Variety
1,reefs
1,smooth, sandy beaches
1,high cliffs
1,sand banks

:Inhabited
1-3,No settlements; uninhabited by humans|hab=0|
4,|hab=1|Small villages{CR~}
_{Bold~If Settled, What’s Going on?} [~Going On]
5,|hab=1|Port Town with some surrounding villages{CR~}
_{Bold~If Settled, What’s Going on?} [~Going On]
6,|hab=1|Powerful city ruling an island Kingdom{CR~}
_{Bold~If Settled, What’s Going on?} [~Going On]

:Going On
1-2,At war with another island nearby
3,{If~{Dice~1d2}=1?Pirate/Buccaneer} is protected by the islanders
4,Pirates regularly plunder this island
5,The inhabitants live in peace
6,Islanders regularly attacked by a sea monster
7,Gruesome secret.
8,Peculiar population (eg. no children, no adults, no men, no women etc). Why?
9,Under sway of evil {If~{Dice~1d2}=1?Voodoo Priest/Pirate Lord}
10,They have never seen outsiders!
11,Island is the property of [Nation]
12,There is a  {If~{Dice~1d2}=1?drunken celebration/tribal ceremony} currently underway

:Nation
1,Spain
2,England
3,France
4,The Netherlands

:Interesting Places
1-18,[Places]
19-20,[Places] & [Places]

:!Places
3,Freshwater spring
4,Waterfalls
5,Statues
6,Buried treasure
7,Large caves
8,Ancient ruins
9,Old Road
10,Ruined fortress
11,Secretive tower
12,Hidden pyramid
13,Territorial markers (skulls etc)
14,Chasm and rope bridge
15,Island just off the coast
16,Carved mountain
17,Pirate cove
18,Spanish monastery

:Inhabitants
1,Cannibals
2,Spanish
3,French
4,English
5,Dutch
6,[Indians]
7,Escaped slaves
8,Bucaneers
9,Pirates
10,[Undead]

;Dangerous Animal
1,Caiman
1,Poisonous Snakes
1,Crocodile
1,Sharks
1,Vampire Bats
1,Jaguars
1,Rabid Monkeys
1,Giant Octopus
1,Giant Squid
1,Poison frogs
1,Anacondas
1,Pythons

;Indians
1,Taino tribe
1,Carib tribe
1,Galibi tribe
1,Arawak tribe

;Undead
1,Ghosts
1,Skeletons
1,Zombies

########## Pirate Island Namer ###########

;PINamer
1,[Island] Island
1,[Island] Islet
1,[Island] Isle
1,Isle of [Island]
1,Island of [Island]
2,Cayo [Island]
4,[Island] Cay
1,[Island] Rock
1,[Island] Bank
3,Isla [Island]
3,Isla de [Island]
2,Isla de la [Island]
1,[Island] Cayemite
1,Ile [Island]
1,Ilet [Island]
1,Cay [Island]
1,Cayos [Island]
2,Cayos de [Island]

;Island
1,A Eau
1,A Tois Roux
1,A Ramiers
1,Abaco
1,Abner
1,Acklins
1,Adam
1,Adderley
1,Ahogado
1,Albuquerque
1,Alcarraza
1,Alder
1,Alfenique
1,Algodones
1,All Awash
1,Allan
1,Allans
1,Ambergris
1,Anderson
1,Andros
1,Anegada
1,Angel
1,Angle and Fish
1,Anguila
1,Anguilla
1,Anguillita
1,Anna
1,Anthony
1,Antigua
1,Araway
1,Archers
1,Arenas
1,Aruba
1,Atholl
1,Atwood
1,Au Rat
1,Aubin
1,August
1,Aves
1,Back
1,Bacolet
1,Bahía
1,Bajo Evelyn
1,Bajo Nuevo Bank
1,Baliceaux
1,Ballena
1,Bamboo
1,Barataria
1,Barbados
1,Barbaretta
1,Barbuda
1,Barca
1,Barkers
1,Barn
1,Barracuda
1,Barrel of Beef
1,Base Line
1,Basse-Terre
1,Batata
1,Bateaux
1,Bats
1,Battowia
1,Baude
1,Bay
1,Bayo
1,Beach
1,Beacon
1,Beak
1,Beef
1,Bell
1,Bellamy
1,Belle Isle
1,Ben
1,Bequia
1,Berberia
1,Berry
1,Big Half Moon
1,Big Lloyd
1,Big Major's
1,Big Pelican
1,Big Pigeon
1,Big Romers
1,Big Sand
1,Big Joe Downer
1,Big Whale
1,Big Wood
1,Big Hog
1,Big Farmer's
1,Big Egg
1,Big Cross
1,Big Crab
1,Big Thrift Harbour
1,Big Cave
1,Big Carters
1,Big Cameron
1,Big Bersus
1,Big Ambergris
1,Big
1,Big Jerry
1,Big Fish
1,Big Harbour
1,Big Grand
1,Big Lake
1,Billy
1,Bimini
1,Bird
1,Bishop
1,Bitter Guana
1,Black
1,Blake
1,Blanquilla
1,Blinders
1,Blowing
1,Blue Hills
1,Bob
1,Bobel
1,Bock
1,Bogue
1,Boisseau
1,Bonaire
1,Bonchard
1,Bonds
1,Bonefish
1,Booby
1,Botella
1,Bouche
1,Bovoni
1,Bowe
1,Breeches
1,Bridges
1,Brigantine
1,Brown
1,Brush
1,Buck
1,Buena Vista
1,Buenavista
1,Bumpduklok
1,Burnside
1,Burroughs
1,Burrow
1,Bursis
1,Bush
1,Cabbage
1,Cabeza de Perro
1,Cabezazos
1,Cabras
1,Cabras
1,Cabritas
1,Cabrits
1,Caeser
1,Caille
1,Caja Muertos
1,Calabash
1,Caledonia
1,Calf
1,Calivigny
1,Cambridge
1,Camia
1,Cana Gorda
1,Canouan
1,Capella
1,Caracoles
1,Caracoles
1,Cardona
1,Caribe
1,Caribes
1,Carrera
1,Carriacou
1,Carter
1,Carval
1,Cas
1,Cashs
1,Castaway
1,Castle
1,Cat
1,Catalina
1,Catch
1,Catholic
1,Catto
1,Cave
1,Cayman Brac
1,Cerro Gordo
1,Chacachacare
1,Chancel
1,Channel
1,Chateaubelair
1,Chevalier
1,Children's Bay
1,Chiva
1,Chiva
1,Choc
1,Chub
1,Church
1,Cinnamon
1,Cistern
1,Clem
1,Cluffs
1,Coakley
1,Coche
1,Cochinos 
1,Cockroach
1,Coco
1,Coco
1,Cocoa Plum
1,Coculus
1,Codrington
1,Collado
1,Cololoba
1,Comfort
1,Compass
1,Conception
1,Conch
1,Conchshell
1,Conference
1,Congo
1,Contoy
1,Cook's
1,Cooper
1,Cormorant
1,Corn
1,Cornish
1,Corral
1,Cotton
1,Cove
1,Cow And Calves
1,Cow and Calf
1,Cow
1,Cozumel
1,Crab
1,Craig
1,Cricket
1,Crisby
1,Crocus
1,Crokus
1,Cronstadt
1,Crooked
1,Cross
1,Crump
1,Cruz del Padre
1,Cubagua
1,Cueva
1,Culebra
1,Culebrita
1,Culmer's
1,Culpepper
1,Cupids
1,Curaçao
1,Curly Cut
1,Current
1,Current
1,Dalzel
1,Damas
1,Danger
1,Daniels
1,Darby
1,Darvill
1,de la Petite Terre
1,De La Rose
1,Dead Chest
1,Dead Mens
1,Deadman
1,Deadman's
1,del Agua
1,del Carmen
1,del Erio
1,Dellis
1,Dennery
1,des Saintes
1,Des Chardons
1,Des Bateaux
1,Desecheo
1,Devils
1,Diablo
1,Diamond
1,Dickies
1,Dike
1,Dikish
1,Dilly
1,Dodan
1,Dog
1,Dolly's
1,Dolphin
1,Dominica
1,Domkirk
1,Don Luis
1,Donna
1,Doomey
1,Double Headed Shot
1,Double Breasted
1,Dove
1,Dry
1,Du Galion
1,Duchamp
1,Duck
1,Duck Pond
1,Dulcina
1,Dunc
1,Dupre
1,Duquesnay
1,Durloe
1,Dutchcap
1,Duvernette Islet
1,East Caicos
1,East
1,Eden
1,Egg
1,El Mono
1,El Ancon
1,Elbow
1,Eleuthera
1,Elizabeth
1,Emerald
1,Enrique
1,Ernst Thälmann
1,Esquivel
1,Este Sudeste
1,Eustatia
1,Exchange
1,Exuma
1,Factory
1,Fahie
1,Falcon
1,Fallen Jerusalem
1,Fanduca
1,Fanny
1,Farallon
1,Fernandez
1,Fiddle
1,Fifteen Feet
1,Finger
1,Finley
1,Fish Hawk
1,Fish
1,Fishing
1,Five
1,Flamingo
1,Flanagan
1,Flanagan
1,Flat
1,Foots
1,Fort George
1,Fortune
1,Fota
1,Fourer
1,Fous
1,Fowl
1,Fragoso
1,Frazer Hog
1,Fregate
1,Fregate
1,French
1,Frenchman's
1,Friars
1,Frigate
1,Frog
1,Frozen
1,Galliot
1,Garden
1,Gardner
1,Garvey
1,Gary
1,Garzas
1,Gaspar Grande 
1,Gasparillo
1,Gaulding
1,Gaulin
1,Geniqui
1,George Dog
1,Geouge
1,Gibb
1,Gibson Hog
1,Gibson
1,Ginger
1,Glass
1,Glover
1,Goat 
1,Gold
1,Golden
1,Golding
1,Gonâve
1,Goole
1,Gorda
1,Gorret
1,Grad Caicos
1,Grand Bahama
1,Grand Turk
1,Grand
1,Grande-Terre
1,Grandeemite
1,Grandman
