# ------------------------------------------------------
# Last Update: modified by Valminder Jan 10, 2016.
# ------------------------------------------------------
# ---------------------------------------------------
# Last Update: modified by Valminder Jan 20, 2006.
# ---------------------------------------------------
# 
# Table created by Patrick Hodak, 2005
#
#
# CUSTOM USE:
# If you do not play in the Rebellion Era, set parameter %I% to 1
# (The deafult is 14 for the Rebellion Era).
#
#
# Modified by Valminder, Jan 2006.
#    Adapted for TSv5.
#    Added: Quality of Astrogation Data
#           Hazard Die and Base DC based on Quality of Data
#           Hazard Die subtable.
#           Situation: No HoloNet access or Rebellion Era.
#           Added a 4th Situation called "I"
#           Adapted to "SW Revised Core Rulebook d20"
#    Changed link to: "Orc Tribes.Generate"
#    Added link to:
#       Names Generator.NAME FormalGen
#    I moved the "Astrogation Roll" parameter up front for ease of use
#       when you already have the parameters fixed for a trip.
# Modified by Valminder, Jan 2016.
#    Added "Same Quadrant" parameter for 1/2 travel time.
#

/OverrideRolls 1

#Hyperdrive Multiplier
%A%,0
# Travel From
%B%,1
# Travel to
%C%,1
# Route Chosen
%D%,1
# Situation 1
%E%,1
# Situation 2
%F%,1
# Situation 3
%G%,1
# Astrogation Roll
%H%,0
%DC%,0
%TIME%,0
%ROUTE%,0
%SIT1%,0
%SIT2%,0
%SIT3%,0
%AST%,0
%DM%,0
%FROM%,0
%TO%,0
%ROUTE2%,0

# New variables, Jan 2006 (Valminder)
%BaseDC%,0
%HazardDice%,0
%HazardDiceRoll%,0
%Quality%,0
%SIT4%,0
%I%,1
%Timed12%,0

%SameQuadrant%,0

@H,100,Astrogation Roll
@A,2,Hyperdrive Multiplier
@B,7,Region Traveling From,Deep Core,Core Worlds,Colonies,Inner Rim,Expansion Region,Mid Rim,Outer Rim,Wild Space,Unknown Regions
@C,7,Region Traveling To,Deep Core,Core Worlds,Colonies,Inner Rim,Expansion Region,Mid Rim,Outer Rim,Wild Space,Unknown Regions
@D,1,Route Chosen (NOT based on what the PCs know but on common knowledge),Known route (+0),New route between familiar systems (+5),New route between unfamiliar systems (+10),Within a star system (+0)
@SameQuadrant,1,Same Quadrant (1/2 travel time),Yes,No
@Quality,6,Quality of Astrogation Data,One day old or less,More than one day old up to one week old,More than one week old up to one month old,More than one month old,No data available,Random
@E,3,Situation (1st),Reduce calculation time by 1 round (+2),No nav computer or astromech used (+5),Ordinary nav computer used (-2),Good nav computer used (-4),Amazing nav computer used (-6),Ordinary astromech used (-1),Good astromech used (-2),Amazing astromech used (-3),Each hour added to trip (-1),Each hour saved on trip (+1),Hyperdrive lightly damaged or jurry-rigged (+5),Hyperdrive heavily damaged (+10),No HoloNet Access or Rebellion Era (+5)
@F,1,More Situations (2nd),None,Reduce calculation time by 1 round (+2),No nav computer or astromech used (+5),Ordinary nav computer used (-2),Good nav computer used (-4),Amazing nav computer used (-6),Ordinary astromech used (-1),Good astromech used (-2),Amazing astromech used (-3),Each hour added to trip (-1),Each hour saved on trip (+1),Hyperdrive lightly damaged or jurry-rigged (+5),Hyperdrive heavily damaged (+10),No HoloNet Access or Rebellion Era (+5)
@G,1,Even More Situations (3rd),None,Reduce calculation time by 1 round (+2),No nav computer or astromech used (+5),Ordinary nav computer used (-2),Good nav computer used (-4),Amazing nav computer used (-6),Ordinary astromech used (-1),Good astromech used (-2),Amazing astromech used (-3),Each hour added to trip (-1),Each hour saved on trip (+1),Hyperdrive lightly damaged or jurry-rigged (+5),Hyperdrive heavily damaged (+10),No HoloNet Access or Rebellion Era (+5)
@I,14,Even More Situations (4th),None,Reduce calculation time by 1 round (+2),No nav computer or astromech used (+5),Ordinary nav computer used (-2),Good nav computer used (-4),Amazing nav computer used (-6),Ordinary astromech used (-1),Good astromech used (-2),Amazing astromech used (-3),Each hour added to trip (-1),Each hour saved on trip (+1),Hyperdrive lightly damaged or jurry-rigged (+5),Hyperdrive heavily damaged (+10),No HoloNet Access or Rebellion Era (+5)

:Start
1,
#<b><u>Junts Star Wars Hyperdrive Time Calculator</u></b><br><br><br>
_{Status~by Patrick Hodak 2005, Valminder 2006}
#_{Input~H,Input Astrogation Roll,10}
_{If~%Quality%=6?|Quality={Dice~1d5}|}
_[From Where=%B%][Route=%D%]
_{If~%SameQuadrant%=1?|TIME\2|}
_[Situation1=%E%][Situation2=%F%][Situation3=%G%][Situation4=%I%]
_<b><u>Travelling from %FROM% to %TO% %ROUTE2%.</u></b><br><br>
_-<u>Hyperdrive Multiplier</u>: {If~%A%>=1? x%A% / x0%A%}<br>
_[DC_Hazard=%Quality%]-<u>Quality of Astrogation Data</u>: {Param~Quality,%Quality%} |HazardDiceRoll={Dice~1d%HazardDice%}|
# to show modifiers used remove the #
#_<font size=2><font color=gray><br>Quality: (Base DC = %BaseDC%, Hazard Die = 1d%HazardDice% (%HazardDiceRoll% = +[Hazard=%HazardDiceRoll%]DC)) Route: (+%ROUTE%DC) Travel From To modifier: ({If~%DM%>0?+%DM%DC/ %DM%DC})</font></font>
_<br><br>
_-{Param~E,%E%}<br>
_{If~%F%!=1?-{Param~F,%F%}<br>}
_{If~%G%!=1?-{Param~G,%G%}<br>}
_{If~%I%!=1?-{Param~I,%I%}<br>}<br>
_|DC={Calc~(%BaseDC% + %DM% + %ROUTE% + %SIT1% + %SIT2% + %SIT3% + %SIT4%)}|
_<b>Base Difficulty Class:</b> %DC% |DC+[Hazard=%HazardDiceRoll%]|(%DC% with hazard die) <b>Astrogation Roll:</b> %H%<br>
_{If~{Calc~(%H% - %DC%)}<-4? [No jump occurs] / [Jump occurs]}

:DC_Hazard
1,|BaseDC=10||HazardDice=4|
2,|BaseDC=15||HazardDice=6|
3,|BaseDC=20||HazardDice=8|
4,|BaseDC=25||HazardDice=10|
5,|BaseDC=30||HazardDice=12|

:From Where
1,|FROM=Deep Core|[ToWhere=%C%]
2,|FROM=Core Worlds|[ToWhere=%C%]
3,|FROM=The Colonies|[ToWhere=%C%]
4,|FROM=The Inner Rim|[ToWhere=%C%]
5,|FROM=The Expansion Region|[ToWhere=%C%]
6,|FROM=The Mid Rim|[ToWhere=%C%]
7,|FROM=The Outer Rim|[ToWhere=%C%]
8,|FROM=Wild Space|[ToWhere=%C%]
9,|FROM=Unknown Regions|[ToWhere=%C%]

:ToWhere
1,[To Deep Core%B%]
2,[To Core Worlds%B%]
3,[To Colonies%B%]
4,[To Inner Rim%B%]
5,[To Expansion Region%B%]
6,[To Mid Rim%B%]
7,[To Outer Rim%B%]
8,[To Wild Space%B%]
9,[To Unknown Regions%B%]

#From Deep Core
:To Deep Core1
1, |TO=the Deep Core||DM=10||TIME=12|

:To Core Worlds1
1, |TO=the Core Worlds||DM=5||TIME=18|

:To Colonies1
1, |TO=the Colonies||DM=3||TIME=24|

:To Inner Rim1
1, |TO=the Inner Rim||DM=2||TIME=48|

:To Expansion Region1
1, |TO=the Expansion Region||DM=1||TIME=72|

:To Mid Rim1
1, |TO=the Mid Rim||DM=3||TIME=96|

:To Outer Rim1
1, |TO=the Outer Rim||DM=5||TIME=120|

:To Wild Space1
1, |TO=Wild Space||DM=10||TIME=144|

:To Unknown Regions1
1, |TO=Unknown Regions||DM=20||TIME=168|

#From Core Worlds
:To Deep Core2
1, |TO=the Deep Core||DM=5||TIME=24|

:To Core Worlds2
1, |TO=the Core Worlds||DM=-5||TIME=6|

:To Colonies2
1, |TO=the Colonies||DM=-4||TIME=24|

:To Inner Rim2
1, |TO=the Inner Rim||DM=-3||TIME=36|

:To Expansion Region2
1, |TO=the Expansion Region||DM=-2||TIME=48|

:To Mid Rim2
1, |TO=the Mid Rim||DM=-1||TIME=84|

:To Outer Rim2
1, |TO=the Outer Rim||DM=0||TIME=96|

:To Wild Space2
1, |TO=Wild Space||DM=10||TIME=120|

:To Unknown Regions2
1, |TO=Unknown Regions||DM=25||TIME=144|

#From Colonies
:To Deep Core3
1, |TO=the Deep Core||DM=5||TIME=48|

:To Core Worlds3
1, |TO=the Core Worlds||DM=-4||TIME=24|

:To Colonies3
1, |TO=the Colonies||DM=-3||TIME=12|

:To Inner Rim3
1, |TO=the Inner Rim||DM=-2||TIME=24|

:To Expansion Region3
1, |TO=the Expansion Region||DM=-1||TIME=48|

:To Mid Rim3
