:Start
1,<b>INDIVIDUAL TREASURE:</b> <i>CHALLENGE 0-4:</i> [treasure4]<br>
_<br>
_<br>
_<b>TREASURE HOARD:</b> <i>CHALLENGE 0-4:</i> [hoard4]

:hoard4
1,<b>Coins</b> {Dice~6d6*100} cp, {Dice~3d6*100} sp, and {Dice~2d6*10} gp<br>
_<b>Gems or Art Objects:</b> [art4]

:art4
01-06, None
07-16, {2d6} - l0 gp gems
17-26, {2d4} - 25 gp art objects
27-36, {2d6} - 50 gp gems
37-44, {2d6} - 10 gp gems, [itema]
45-52, {2d4} - 25 gp art objects, [itema]
53-60, {2d6} - 50 gp gems, [itema]
61-65, {2d6} - 10 gp gems, [itemb]
66-70, {2d4} - 25 gp art objects, [itemb]
71-75, {2d6} - 50 gp gems, [itemb]
76-78, {2d6} - 10 gp gems, [itemc]
79-80, {2d4} - 25 gp art objects, [itemc]
81-85, {2d6} - 50 gp gems, [itemc]
86-92, {2d4} - 25 gp art objects, [itemf]
93-97, {2d6} - 50 gp gems, [itemf]
98-99, {2d4} - 25 gp art objects, and [tableg]
100, {2d6} - 50 gp gems, and [tableg]

:figure
1, Bronze griffon 
2, Ebony fly 
3, Golden lions 
4, Ivory goats 
5, Marble elephant 
6-7, Onyx dog 
8, Serpentine owl 

:!tableg
01-11, Weapon, +2 
54, loun stone (sustenance)
12-14, Figurine of wondrous power: [figure]
55, Iron bands of Bilarro
56, Armor, + 1 leather
57, Armor of resistance (leather)
58, Mace of disruption
59, Mace of smiting
60, Mace of terror
61, Mantle of spell resistance
62, Necklace of prayer beads
15, Adamantine armor (breastplate) 
63, Periapt of proof against poison
16, Adamantine armor (splint) 
64, Ring of animal influence
17, Amulet of health 
65, Ring of evasion
18, Armor of vulnerability 
66, Ring of feather falling
19, Arrow-catching shield 
67, Ring of free action
20, Belt of dwarvenkind 
68, Ring of protection
21, Belt of hill giant st rength 
69, Ring of resistance
22, Berserker axe 
70, Ring of spell storing
23, Boots of levitation 
71, Ring of the ram
24, Boots of speed 
72, Ring of X-ray vision
25, Bowl of commanding water elementals 
73, Robe of eyes
26, Bracers of defense 
74, Rod of rulership
27, Brazier of commanding fire elementals 
75, Rod of the pact keeper, +2
28, Cape of the mountebank 
76, Rope of entanglement
29, Censer of controlling air elementals 
77, Armor, +1 scale mail
30, Armor, +1 chain mail 
78, Armor of resistance (scale mail)
31, Armor of resistance (chain mail) 
79, Shield, +2
32, Armor,+ 1 chain shirt 
80, Shield of missile attraction
33, Armor of resistance (chain shirt) 
81, Staff of charming
34, Cloak of displacement 
82, Staff of healing
35, Cloak of the bat 
83, Staff of swarming insects
36, Cube afforce 
84, Staff of the woodlands
37, Daern's instant fortress 
85, Staff of withering
38, Dagger of venom 
86, Stone of controlling earth elementals
39, Dimensional shackles 
87, Sun blade
40, Dragon slayer 
88, Sword of life stealing
41, Elven chain 
89, Sword of wounding
42, Flame tongue 
90, Tentacle rod
43, Gem of seeing 
91, Vicious weapon
