# ---------------------------------------------------
# Last Update: modified by Valminder Jan 6, 2012.
# ---------------------------------------------------
#
# Star Wars Ores
# (a reference file with Minerals and Metals from the SW universe)
#
# Modified by Valminder, Jan 2006.
#    Adapted for TSv5.
# Modified by Valminder, Jan 2011.
#    Minor errors corrected + added bold names.
#

:Start
1-5,[Industrial Ore]
6-10,[Industrial Gem]
11-13,[Strategic Ore]
14-16,[Strategic Gem]
17-18,[Lowgrade]
19,[SemiPrecious Gem]
20,[Precious Gem]

;Industrial Ore
7,<b>Bal'ta'ran Crystals</b> - found on Guiteica, valuable mineral  (AIR)
1,<b>Bene</b> - this rare mineral was found on a few desert planets across the galaxy. (IWE1)
2,<b>Berubian</b> - highly sought after
9,<b>Bodrite</b> - this mineral is mined by the Elrood Quarry Corporation on Bodrin.
5,<b>Borium</b> - a raw material mined on the planet Contruum.
4,<b>Chromite</b> - a blue-white ore that was mined on New Brigia.
3,<b>Corintium</b> - this ore is mined on the planet Pirik.
5,<b>Crism</b> - crystalline mineral found on G'rho.
8,<b>Derillium </b> - mineral mined at Arah asteroid mines.
7,<b>Fraca</b> - this ore, mined on the planet Varn, is found in web-like veins under the planet's oceans. It is often found atop formations of tertian.
5,<b>Helicite</b> - a gypsum formation found on Tatooine.
6,<b>Lapi-stone</b> - this is a stone which is sleek and hard when polished.
6,<b>Lidium</b> - an ore that was once mined on Bothan's Planet.
7,<b>Oridium</b> -  mineral mined in asteroid 
4,<b>Oxite</b> - this ore is mined on the planet known as Oasis, in the middle of the Maelstrom.
3,<b>Plexite</b> - a valuable mineral.
7,<b>Plumbum</b> - an important element mined in the galaxy.
6,<b>Polonium</b> - an important element mined in the galaxy.
9,<b>Quadrillium</b> - mineral found in abundance in many asteroids,
7,<b>Rethin</b> - a metal which is molten at relatively low temperatures, it forms the core of the planet Bespin, and is mined for various uses.
5,<b>Rubindun</b> - a valuable ore.
4,<b>Sedrellium</b> - valuable ore found in te shells of Andoan mineral-fish
4,<b>Tertian</b> - this ore is found on the planet Varn, in underwater veins covered by fraca ore.
2,<b>Vannan Crystals </b> - these rare minerals were often smuggled and sold on the black market.
7,<b>Vendusii Crystal</b> - a valuable mineral mined in various grades of purity.
4,<b>Vertex</b> - crystalline mineral mined on Kir
2,<b>Dragite</b> - this valuable crystal is mined in the D'olop mountains on the planet M'haeli. They have properties similar to Adegan crystals.

;Strategic Ore
6,<b>Rock Ivory</b> - Valuable and controlled mineral often smuggled. Used commercially in antigrav units.
7,<b>Ardanium </b> - Mineral properties grow stronger in the presence of radiation. Used in creating fuel canisters for starships. Found on Questal. 
4,<b>Chronamite</b> - Mineral on Chorna. A shiny black rock that is poisonous in an unrefined state. When refined it is a strong metal used to create ceiling supports for starship hulls.
5,<b>Cortheum</b> - this rock, present in the crusts of planets which have corthel-laden atmospheres, is mined for a number of uses. Among its primary uses is in the manufacture of photo-receptors used as droid eyes.
8,<b>Ethromite</b> - These minerals are often used in fusion reactions in starship power generators.
1,<b>Hibridium</b> - found only on the western coastline of Garos IV's main continent, this ore was discovered to have a natural ability to cloak other objects. Thus, when the Empire discovered it, Garos IV was garrisoned and the mining of the ore strictly regulated.
4,<b>Ionite</b> - this mineral is considered quite valuable throughout the galaxy. Its unique characteristic 
_is that it carries neither a positive nor a negative charge. Instead, ionite carries an alternate charge 
_that affects all charged particle fields around it. In the presence of a positively-charged element, 
_ionite carries a negative charge that negates the positive charge. The reverse is also true. 
_Thus, in the presence of ionite, any electrical device has its operations voided and becomes unusable. 
_This is especially true to chronometers and other timing devices.
2,<b>Kunda Stone</b> - crystalline mineral found on Kadril.  used in communications and medical technologies. One of its properties its ability to absorb and filter out gas 
6,<b>Lommite</b> - an ore once thought to be found exclusively on Elom, it is one of the primary components used in making transparisteel, durasteel, and dura-armor. Several years after the Battle of Endor, Warlord Zsinj's forces discovered another source, on the moon Koratas.
5,<b>Ostrine</b> - found on the planert Hargeeva, this mineral had many unique properties. The chief property was that ostrine could absorb heat like a sponge. This made it a valuable mineral for the production of armor plating for stormtroopers and soldiers.
9,<b>Rudic</b> - crystalline mineral prime component in manufacture of sensor devices. 
4,<b>Rylith</b> - a unique crystal that was found on the planet Demophon, rylith was unique in that it could collect and store solar energy. They had many technological uses, including weapons power sources.
1,<b>Stygium</b> - rare, crystalline mineral is found only on Aeten II.  crystal could create a full-effect cloaking system.
5,<b>Varium</b> - this ore was used in the production of droid shells.
4,<b>Varmigio</b> - a valuable ore that is used to manufacture hyperdrive cores.
7,<b>Zinsian</b> - raw mineral used as a dry preservative.
1,<b>Titanite</b> - rare mineral used in the production of bacta.
3,<b>Durelium</b> - this ore, found in the Mestra and Tava Yagen asteroid fields, is an essential material used in the construction of hyperdrives.
4,<b>Dactyl</b> - this yellow ammonia crystal is vital to the survival of Arconans who are away from their homeworld. Dactyl is used as a dietary supplement to stave off the effects of low-ammonia atmospheres. Even short periods of time without a regular supply of ammonia will kill an Arconan, so a steady source of dactyl is maintained during travel.

;Industrial Gem
1,<b>Green Diamond</b> - beautiful gemstones deadly to hold contains active radiation unprotected for 30 seconds enough deadly radioactive emissions have seeped into your body to kill you
6,<b>Nova Crystals</b> - precious gemstones matrix, exposed to bright sunlight (especially red color) absorbs heat light becomes excited gemstone glows luminescence, providing a ready light source. If not refrigerated crystals can explode with incredible force.
9,<b>Ulikuo</b> - valuable gemstone found on Kip. In addition to its value as an industrial abrasive and its lustrous beauty,
5,<b>Sun Crystal</b> - found  Jazbina. mined in near-total darkness. When contact light, crystals absorb it and shine it back ten-fold in a blinding display, cure remain in complete darkness until the urge to look gones.
4,<b>Xurkonia</b> - a synthetic, diamond-like crystal produced by the Kubaz. 

;Strategic Gem
8,<b>Beam Gem</b> - used in optical systems to focus beam of light.  used extensively in starship navigational computers to direct the flow of data over fiber optic channels.
2,<b>Devaronian Blood-poison</b> - silver color. When rubbed into an wound, or  weapon it inflicts a painful poisoning into the bloodstream, which lingers for weeks unless treated immediately.
3,<b>Garnib Crystals</b> - gemstones found on Garnib, have addictive properties the swirling patterns of light thrown when encounter sunlight. beings sit for hours, short-term overstimulation of the optic nerve, 
3,<b>Electrite</b> - fist-sized crystals which are used as leads in detonation devices.
1,<b>Healing Crystals of Fire</b> - firey gemstones among treasures the Jedi heal serious wounds. Inside was an eternal flame.  vertex crystals, 
1,<b>Kaiburr Crystal</b> - red gemstone enhancing the user's Force strength, the Kaiburr Crystal increased the holder's perception of the Force, effect magnified larger portions healed various injuries, kaiburr crystals were powerful stones that could be used in lightsabers
