# ---------------------------------------------------
# Last Update: modified by Valminder Jan 30, 2006.
# ---------------------------------------------------
#
# Starship Names
#
# Hodax
#
# Modified by Valminder, Jan 2006.
#    Adapted for TSv5.
#    I changed the "START" line.
#    Added a few Star Wars weapons.
#    Added link to:
#       Miscellaneous.ColorNoType
#       SW NPC Gen.Race
#

:Start
1,{Status~By Patrick Hodak 2005, Valminder 2006}[Gen Name]

;Gen Name
15,The [~CapAdj] [~CapNoun]
3,The [~CapPos Thing]'s [~CapOwned Noun]
5,The [~CapNoun]
1,The [~CapSpec Noun]-[~CapSpec Noun]
2,The [~CapAdj] [~SW Creatures.CapCreature]
1,The [~SW Creatures.CapCreature]
2,The [~SW Creatures.CapCreature]'s [~CapOwned Noun]
1,The [~CapNoun] of [Planets]
1,[Planets]'s [~CapOwned Noun]

# --------------------------------------------------------------------

# The Cap subtables are to be used with ~
:CapAdj
1,{Cap~[Adj]}

:CapNoun
1,{Cap~[Noun]}

:CapOwned Noun
1,{Cap~[Owned Noun]}

:CapPos Thing
1,{Cap~[Pos Thing]}

:CapSpec Noun
1,{Cap~[Spec Noun]}

# --------------------------------------------------------------------

;Adj
2,[Miscellaneous.ColorNoType+3]
2,[Jewel]
2,[Condition]
2,[Other]
1,[Crossover]

;Noun
1,[Body Part]
2,[Weapon]
3,[Own Thing]
2,[Animal]
1,[Crossover]
3,[Pos Thing]
1,[Jewel]

;Owned Noun
1,[Body Part]
1,[Weapon]
1,[Own Thing]
1,[Crossover]

:!Jewel
1,pearl
2,onyx
3,ruby
4,sapphire
5,jade
6,emerald
7,amber
8,diamond
9,opal
10,topaz
11,garnet
12,jet
13,amethyst
14,agate

:Condition
1,[PositiveCond]
2,[NegativeCond]
3,[PhysicalCond]
4,[NeutralCond]

:NegativeCond
1,crooked
2,crazy
3,insane
4,crashworthy
5,wrathful
6,vengeful
7,scorned
8,blasted
9,malevolent
10,damned
11,cruel
12,despised
13,wicked
14,demented
15,tormented
16,ravenous
17,angry
18,deranged
19,accursed
20,jealous
21,vulgar
22,shady

:PositiveCond
1,benevolent
2,fearless
3,cunning
4,intelligent
5,loyal
6,beloved
7,blessed
8,mighty
9,stalwart
10,wonderous
11,zealous
13,vigilent
14,lawful
15,jubilant
16,humble
17,enlightened

:NeutralCond
1,gazing
2,dreaming
3,carefree
4,boastful
5,elusive
6,forgotten
7,aggressive
8,relentless
9,lone
10,free
11,legendary
12,shadowy
13,light

:PhysicalCond
1,bleeding
2,bloody
3,dead
4,flaming
5,jagged
6,rotting
7,rusty
8,wounded
9,blazing
10,floating
11,scorched
12,speeding
13,diseased
14,broken
15,burning
16,scarred
17,decaying
18,screaming
19,old
20,young
21,sleeping
22,torn
23,rancid
24,dirty
25,hidden
26,slippery
27,quick

:Other
1,sonic
2,ionic
3,bionic
4,cyber
5,gigantic
6,molecular
7,metallic
8,radioactive
9,atomic
10,dark
11,millenium
12,eon
13,century
14,decade
15,razor
16,galactic
17,universal
18,nuclear
19,divine
20,eternal
21,true
22,final
23,last
24,instant
25,absolute
26,monolithic
27,iconic
28,royal

:Body Part
1,tongue
2,eye
3,claw
4,fang
5,skull
6,wing
7,bone
8,tooth
9,fist
10,talon
11,mind
12,heart
13,hand

:Weapon
1,axe
2,knife
3,dagger
4,sword
5,guillotine
6,blade
7,spear
8,lance
9,sabre
10,razor
11,scimitar
12,rapier
13,spike
14,scythe
15,halaberd
16,stiletto
17,hammer
18,trident
19,blaster
20,lightsaber
21,bowcaster
22,vibro[Vibro]
23,forcepike
24,disruptor
25,rifle

;Vibro
1,axe
1,blade
1,rapier

:Own Thing
1,[Object]
2,[PosConcept]
3,[NegConcept]
4,[NeutralConcept]

:Object
1,wave
2,inferno
3,fireball
4,asteroid
5,sun
6,comet
7,moon
8,mission
9,star
10,galleon
11,edge
12,meteor
13,flux
14,mark
15,corona
16,thorn
17,saga
18,laugh
19,zero
20,one
21,rock
22,heaven
23,storm
24,tempest
25,whirlwind
26,icon
27,adventure
28,nest
29,lair
30,jewel
31,gem
32,guantlet
33,shield
34,sledge

:PosConcept
1,radiance
2,promise
3,strength
4,truth
5,justice
6,haven
7,prosperity
8,peace
9,humility
10,perseverance
11,blessing
12,luck
13,abundance

:NeutralConcept
1,void
2,evolution
3,revolution
4,illusion
5,reflection
6,retribution
